Country Name,GDP per capita,GDP growth (annual %),GDP per person employed,"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Access to electricity (% of population),People using at least basic drinking water services (% of population),"School enrollment, secondary (% gross)",Literacy rate (% people 15 and above),Unemployment (% of total labor force),"Employment to population, total (%)",Gini index,Poverty headcount ratio (% of population),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)",Central government debt (% of GDP),Government expenditure on health (% of GDP),Government expenditure on education (% of GDP),Industry value added (% of GDP)
Algeria,4468.45341883656,0.899999999219148,59207.3848011386,75.682,20.7,99.5,94.2391398601614,72.4563258,81.456325,11.478,36.245,27.6,17.4,0.882992828847023,1.95176821052892,50.823156,3.27598047,5.57536563446523,33.5743211841578
Brazil,9029.83326681073,1.22077782360842,39945.5086419838,75.809,13,99.8,98.9355439518362,103.953277587891,93.9019248012051,11.936,56.953,53.5,19.7,4.22425886342708,3.73297621216898,92.5652531945418,3.91701889,5.96346998214722,18.754627572495
Burkina Faso,764.853077774946,5.88920497068135,8336.47379662973,60.184,50.2,17.6,49.0028525018525,40.0770460332282,29.6599998474121,1.56,76.407,37.4,41.4,0.51290051556127,-3.23338933983324,47.0623633717549,2.24456501,5.45615632520251,27.4259133812459
Canada,46352.8693445211,1.90843194590616,110430.50597969,82.1636585365854,4.5,100,99.2216549751961,110.980072021484,99.0154765,5.69,62.294,31.7,11,1.54607073393581,1.94926902411596,53.3623246913959,7.68624496,4.77293014526367,24.0774078769413
China,10342.9009524335,6.06850235053705,35777.2153203047,77.94,6,100,95.3173719016687,108.948965,97.58521,5.15,67.35,38.2,0.6,1.31550650702985,2.89923416358229,40.73265,2.99503422,4.067965,37.7642333162735
"Congo, Rep.",2488.42466724916,1.12447391976529,22023.7335388255,63.152,33,47.7,73.5958698078761,50.654865,75.123156,20.139,62.812,48.9,40.9,-1.31736650195613,2.20607305781522,90.02413,1.02925241,3.24716413970868,50.1286715725579
Ethiopia,828.709080522921,8.36408573314054,5937.3545655837,65.741,41,48,47.2539785569372,33.48452,55.0499992370605,7.45,65.213,37.6,23.5,12.8604326413094,15.8096321719344,31.4488445669585,0.73088509,4.48086946127054,24.8223642571985
Germany,47623.8656074829,0.987893350164853,122853.413462313,81.2926829268293,3.1,100,99.9999995489977,101.152557373047,99.32447,3.163,60.006,31.8,16.1,2.01597612276328,1.44565976888253,60.45321,9.04424477,5.02757978439331,25.631053953741
Japan,40415.9567649547,-0.402169200894946,84299.2524169481,84.3563414634146,1.8,100,99.0623169265831,102.670066833496,99.365778,2.351,60.55,33,16,0.634803165679927,0.468776159383928,240.2567,9.2108326,3.15533995628357,28.8040848106902
Mexico,10369.5553585271,-0.392690505099296,49950.118135227,74.53,12.2,99.6,99.1153530172831,105.515609741211,95.3889403219417,3.477,58.08,46.2,36.3,4.31901023665301,3.63596142127045,41.3273940627237,2.60432172,4.257562,31.8382961335776
Niger,561.691304349698,5.93985257123522,4302.80375224768,60.031,69.5,18.5,47.3666848215679,28.156483,38.17856,0.531,72.053,36.1,40.8,-0.0243827627404585,-2.48979265070854,43.9652,2.02236509,3.53358621816013,20.5861804923542
Norway,76430.5889473339,1.12374694968757,169374.750118894,82.9585365853659,2,100,99.9999987035841,119.421340942383,100,3.684,64.642,27.7,12.7,-0.548437002455742,2.16773003305404,40.120145,8.94719028,7.8645601272583,29.8244589771798
Russian Federation,11447.701171875,2.19807571335009,78166.245870728,73.0839024390244,4.7,99.8,96.7955268787445,100.471744682473,99.5147,4.513,59.395,35.7,12.3,3.26313281881684,4.47036660760176,17.2760484379376,3.45416045,3.69561429198336,32.1504958365379
South Africa,6533.71121032856,0.25993557687633,47461.5376300893,66.071,25.6,85,93.3882436903298,103.78912033531,95.0199966430664,28.468,39.533,63,55,4.61352469052481,4.1028507546115,64.5892781351104,4.80006361,5.9115800857544,23.6220152843652
Spain,29786.5245689007,1.96117850841711,110743.211960685,83.8317073170732,2.6,100,99.9258382744694,118.524719238281,98.65473,14.104,49.751,34.3,21,1.42867123652391,0.699518994458692,111.293101240882,6.44128752,4.20255994796753,19.9779055762497
Switzerland,84121.9310304414,1.14198218965691,143411.166919806,83.9048780487805,3.5,100,99.9999987245773,104.071113586426,99.85614,4.394,65.233,34,15.5,-0.103895024279751,0.362886179940615,18.9542598066682,3.82881737,5.01438999176025,24.7211591296094
Turkiye,9215.44049888114,0.818514526726673,79939.2162055263,77.737,9.1,100,96.8689641597761,111.910400390625,96.7399978637695,13.731,45.681,43.8,15,13.8677568970462,15.1768215720023,33.9048016541042,3.38672566,4.44776010513306,27.3317028269222
United Kingdom,42794.0022648288,1.62447518038404,106437.784561203,81.3691219512195,3.8,100,99.999997344305,117.085289001465,99.75263,3.657,60.639,32.8,16.5,2.13295139419517,1.73810460086515,160.321918277325,7.95722914,5.26115989685059,17.7588643465906
United States,65227.9565911038,2.58382533018889,140255.892055835,78.7878048780488,5.5,100,99.7446309234849,100.063430786133,99.65774,3.669,60.784,41.9,11.7,1.65046566913468,1.81221007526021,100.058217318845,8.64202499,4.95746994018555,17.8615098192747
